City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,wailua homesteads,22.0669,-159.378,21.24000000000001,84,0,4.12,US,2024-02-13
177,sao joao da barra,-21.6403,-41.0511,32.05000000000001,50,95,2.53,BR,2024-02-13
178,kulp,38.4972,41.0122,11.220000000000027,61,100,1.18,TR,2024-02-13
179,chernyanka,50.9409,37.8069,2.140000000000043,98,100,1.19,RU,2024-02-13
180,ulan bator,47.9077,106.8832,-19.92999999999998,84,0,1.0,MN,2024-02-13
181,ust'-ilimsk,58.0006,102.6619,-15.42999999999995,92,100,4.02,RU,2024-02-13
182,kiamba,5.9894,124.6242,26.170000000000016,82,81,1.14,PH,2024-02-13
183,constantia,44.1833,28.65,11.5,63,100,4.51,RO,2024-02-13
184,tamanrasset,22.785,5.5228,28.950000000000045,9,0,3.09,DZ,2024-02-13
185,nuku'alofa,-21.1333,-175.2,27.189999999999998,83,100,7.2,TO,2024-02-13
186,neka,36.6508,53.299,22.730000000000018,40,0,2.06,IR,2024-02-13
187,perez,-32.9983,-60.7679,19.890000000000043,42,0,6.17,AR,2024-02-13
188,inari,68.906,27.0288,-14.889999999999986,90,100,4.27,FI,2024-02-13
189,bodaybo,57.8506,114.1933,-16.00999999999999,92,100,2.65,RU,2024-02-13
190,puerto leguizamo,-0.1934,-74.7819,24.52000000000004,93,93,0.89,CO,2024-02-13
191,yarmouth,41.7057,-70.2286,3.0300000000000296,92,100,6.69,US,2024-02-13
192,yeniseysk,58.4497,92.1703,-17.98999999999998,96,100,2.0,RU,2024-02-13
193,brisas de zicatela,15.8369,-97.0419,22.29000000000002,83,0,3.6,MX,2024-02-13
194,zambezi,-13.5432,23.1047,31.700000000000045,35,50,3.64,ZM,2024-02-13
195,carnarvon,-24.8667,113.6333,26.30000000000001,66,0,10.08,AU,2024-02-13
196,la ronge,55.1001,-105.2842,-3.859999999999957,74,100,3.09,CA,2024-02-13
197,acarau,-2.8856,-40.12,30.590000000000032,63,100,6.64,BR,2024-02-13
198,amga,60.8953,131.9608,-29.339999999999975,99,100,1.33,RU,2024-02-13
199,fort st. john,56.2499,-120.8529,-8.060000000000002,67,20,1.54,CA,2024-02-13
200,cabo san lucas,22.8909,-109.9124,16.950000000000045,84,0,4.12,MX,2024-02-13
201,faya-largeau,17.9257,19.1043,34.94,5,0,8.23,TD,2024-02-13
202,buala,-8.145,159.5921,26.24000000000001,84,76,3.02,SB,2024-02-13
203,kailua-kona,19.6406,-155.9956,21.980000000000018,66,0,1.54,US,2024-02-13
204,obihiro,42.9172,143.2044,-0.6599999999999682,88,3,2.07,JP,2024-02-13
205,pisco,-13.7,-76.2167,25.03000000000003,78,100,1.54,PE,2024-02-13
206,talara,-4.5772,-81.2719,27.420000000000016,74,75,7.72,PE,2024-02-13
207,gobabis,-22.45,18.9667,31.210000000000036,27,64,5.95,NA,2024-02-13
208,tahe,52.3333,124.7333,-17.649999999999977,90,17,1.89,CN,2024-02-13
209,hobyo,5.3505,48.5268,28.230000000000018,63,15,7.56,SO,2024-02-13
210,chokwe,-24.5333,32.9833,34.18000000000001,25,0,6.24,MZ,2024-02-13
211,aykhal,66.0,111.5,-31.70999999999998,100,100,4.16,RU,2024-02-13
212,ciudad dario,12.7314,-86.124,25.340000000000032,64,19,3.26,NI,2024-02-13
213,verkhnevilyuysk,63.4453,120.3167,-31.21999999999997,100,100,1.14,RU,2024-02-13
214,zheleznodorozhnyy,55.7503,38.0042,-4.659999999999968,95,93,3.13,RU,2024-02-13
215,falenki,58.3613,51.5946,-14.229999999999961,91,100,4.57,RU,2024-02-13
216,point fortin,10.1833,-61.6833,30.680000000000007,74,16,3.52,TT,2024-02-13
217,grootfontein,-19.5667,18.1167,33.06,23,11,5.59,NA,2024-02-13
218,colonia menno,-22.3667,-59.8167,29.400000000000034,70,100,3.94,PY,2024-02-13
219,zhosaly,45.4878,64.0781,2.8600000000000136,61,100,3.69,KZ,2024-02-13
220,santana,-0.0583,-51.1817,26.100000000000023,94,100,2.06,BR,2024-02-13
221,sao jose da coroa grande,-8.8978,-35.1478,30.07000000000005,62,72,4.52,BR,2024-02-13
222,cabedelo,-6.9811,-34.8339,31.370000000000005,71,54,5.89,BR,2024-02-13
223,berdigestyakh,62.0989,126.6992,-25.849999999999966,96,100,3.18,RU,2024-02-13
224,lubang,13.8584,120.124,26.05000000000001,79,61,11.8,PH,2024-02-13
225,suva,-18.1416,178.4415,26.710000000000036,94,20,1.54,FJ,2024-02-13
226,guerrero negro,27.9769,-114.0611,13.129999999999995,55,0,2.49,MX,2024-02-13
227,luga,58.7372,29.8453,-6.1299999999999955,79,97,5.04,RU,2024-02-13
228,auki,-8.7676,160.7034,25.860000000000014,87,100,4.97,SB,2024-02-13
229,pico truncado,-46.7949,-67.9573,21.900000000000034,21,75,9.52,AR,2024-02-13
230,bamiantong,44.9333,130.5333,-1.3599999999999568,82,23,5.93,CN,2024-02-13
231,nicoya,10.1483,-85.452,28.510000000000048,57,100,5.25,CR,2024-02-13
232,genhe,50.7833,121.5167,-24.93999999999997,98,48,0.87,CN,2024-02-13
233,funadhoo,6.15,73.2667,28.05000000000001,74,63,6.25,MV,2024-02-13
234,petropavlovsk-kamchatsky,53.0452,158.6483,-17.529999999999973,81,0,4.0,RU,2024-02-13
235,istgah-e rah ahan-e garmsar,35.2346,52.3094,16.5,27,24,1.26,IR,2024-02-13
236,lorengau,-2.0226,147.2712,27.439999999999998,81,99,4.13,PG,2024-02-13
237,iskateley,67.6803,53.1512,-29.42999999999998,98,67,3.58,RU,2024-02-13
238,vilyuchinsk,52.9306,158.4028,-16.70999999999998,81,88,3.04,RU,2024-02-13
239,virginia,37.5481,-77.4467,6.1299999999999955,93,100,11.83,US,2024-02-13
240,abatskoye,56.2875,70.4555,-10.310000000000002,94,100,6.78,RU,2024-02-13
241,dudinka,69.4058,86.1778,-37.39999999999998,99,18,1.79,RU,2024-02-13
242,al ghayzah,16.2079,52.176,26.57000000000005,63,97,5.47,YE,2024-02-13
243,mount gambier,-37.8333,140.7667,14.650000000000034,56,90,5.65,AU,2024-02-13
244,saudarkrokur,65.7461,-19.6394,-1.7199999999999704,96,100,6.75,IS,2024-02-13
245,doume,4.2333,13.45,39.170000000000016,12,44,1.93,CM,2024-02-13
246,medicine hat,50.0501,-110.6683,-5.449999999999989,76,100,3.09,CA,2024-02-13
247,port lincoln,-34.7333,135.8667,17.160000000000025,58,99,7.65,AU,2024-02-13
248,lionel town,17.8101,-77.2406,26.610000000000014,68,3,1.69,JM,2024-02-13
249,nuuk,64.1835,-51.7216,-12.659999999999968,72,20,9.26,GL,2024-02-13
